"","X1","CountyFips","CountyName","ReportYear","Value","pollutant","county","Id2","population","log_ppl","case","rate","rate_new","log_rate","log_pop","z_pop","z_pollutant"
"1",1,40001,"adair",2010,10.56306122,10.56306122,"ADAIR",40001,22731,10.0314849105995,95,0.00417931459240684,0.0646927339692304,9.47018321281835,10.0314849105995,-0.243318581461524,1.01689432685646
"2",2,40003,"alfalfa",2010,8.463287493,8.463287493,"ALFALFA",40003,5632,8.63621989783788,31,0.00550426136363636,0.0742589393939828,3.58953342628075,8.63621989783788,-0.401690659645101,-0.844596655935072
"3",3,40005,"atoka",2010,9.303509973,9.303509973,"ATOKA",40005,14161,9.55824698622306,81,0.00571993503283666,0.0757025383399399,8.47435728714174,9.55824698622306,-0.322694492920279,-0.099722791695729
"4",4,40007,"beaver",2010,7.318200595,7.318200595,"BEAVER",40007,5638,8.63728467167406,12,0.00212841433132316,0.0461511223807131,1.38932551793204,8.63728467167406,-0.401635087245013,-1.85973886279807
"5",5,40009,"beckham",2010,7.753438816,7.753438816,"BECKHAM",40009,22055,10.001294612539,141,0.00639310813874405,0.0800423558336917,14.0981748326085,10.001294612539,-0.249579738538084,-1.47389156252002
"6",6,40011,"blaine",2010,8.623188474,8.623188474,"BLAINE",40011,9899,9.20018902091981,69,0.00697040105061117,0.0835862250984213,7.49984591002474,9.20018902091981,-0.362169421115986,-0.702841270369653
"7",7,40013,"bryan",2010,9.365590488,9.365590488,"BRYAN",40013,42627,10.6602431343062,410,0.009618317029113,0.0982309194868152,38.4606612470743,10.6602431343062,-0.0590405027703461,-0.0446871860047001
"8",8,40015,"caddo",2010,8.843401162,8.843401162,"CADDO",40015,29674,10.2980265205107,192,0.00647031070971221,0.0805252385328871,18.6443489553645,10.2980265205107,-0.179012052493246,-0.507618362426162
"9",9,40017,"canadian",2010,9.637668745,9.637668745,"CANADIAN",40017,116339,11.6642636219319,812,0.00697960271276184,0.0836415071378271,69.614338831748,11.6642636219319,0.623684956441761,0.196515575753226
"10",10,40019,"carter",2010,9.056622258,9.056622258,"CARTER",40019,47789,10.7745507664736,451,0.00943731821130386,0.0972993124709141,41.8578936398299,10.7745507664736,-0.011229714561467,-0.318593639218484
"11",11,40021,"cherokee",2010,10.74026102,10.74026102,"CHEROKEE",40021,47121,10.7604740405111,279,0.00592092697523397,0.0770236964192683,25.9282257407637,10.7604740405111,-0.0174167751045765,1.17398545796787
"12",12,40023,"choctaw",2010,9.595023781,9.595023781,"CHOCTAW",40023,15227,9.63082544684073,88,0.00577920798581467,0.0760945169532764,9.13732685591008,9.63082544684073,-0.312821129838011,0.158709970831745
"13",13,40025,"cimarron",2010,6.271667211,6.271667211,"CIMARRON",40025,2457,7.80669637252118,10,0.00407000407000407,0.0638399383731905,1.28095157321592,7.80669637252118,-0.431097721358233,-2.78751142822093
"14",14,40027,"cleveland",2010,9.764357852,9.764357852,"CLEVELAND",40027,256920,12.4565200313717,1538,0.00598629923711661,0.0774485815336513,123.469475915147,12.4565200313717,1.92575555256583,0.308827977449646
"15",15,40029,"coal",2010,9.14466069,9.14466069,"COAL",40029,5894,8.68169016329764,25,0.00424160162877503,0.0651737086087329,2.87962361357803,8.68169016329764,-0.3992639981746,-0.240545826161385
"16",16,40031,"comanche",2010,8.835551764,8.835551764,"COMANCHE",40031,125389,11.7391761840351,1171,0.00933893722734849,0.0967892288381959,99.751463104585,11.7391761840351,0.707506659907541,-0.514577009164836
"17",17,40033,"cotton",2010,8.411225164,8.411225164,"COTTON",40033,6174,8.7281022050621,61,0.00988014253320376,0.0995633173603876,6.98891907620209,8.7281022050621,-0.396670619503835,-0.890750941385195
"18",18,40035,"craig",2010,10.29432577,10.29432577,"CRAIG",40035,15060,9.61979750135388,105,0.00697211155378486,0.0835965042543628,10.9149906726438,9.61979750135388,-0.314367894973789,0.77865502968888
"19",19,40037,"creek",2010,10.50822359,10.50822359,"CREEK",40037,70204,11.1591605684476,711,0.0101276280553815,0.100806763438584,63.7144698867713,11.1591605684476,0.196379510099909,0.96827968212114
"20",20,40039,"custer",2010,8.334370868,8.334370868,"CUSTER",40039,27489,10.2215412036333,183,0.00665720833788061,0.0816825184605336,17.9033666601032,10.2215412036333,-0.19924966819189,-0.958883796441529
"21",21,40041,"delaware",2010,10.66585499,10.66585499,"DELAWARE",40041,41543,10.6344843143698,149,0.00358664516284332,0.0599244640533297,14.0110225936075,10.6344843143698,-0.0690805830528771,1.10802303919421
"22",22,40043,"dewey",2010,7.998015326,7.998015326,"DEWEY",40043,4823,8.48115142006897,39,0.00808625336927224,0.090045231356849,4.5984322255719,8.48115142006897,-0.409183671590274,-1.25706964398974
"23",23,40045,"ellis",2010,7.50570489,7.50570489,"ELLIS",40045,4149,8.33062262033287,28,0.00674861412388527,0.0822426304760022,3.36109331512141,8.33062262033287,-0.415426304533471,-1.69351259284856
"24",24,40047,"garfield",2010,9.238199718,9.238199718,"GARFIELD",40047,60758,11.0146540397756,461,0.00758747819217222,0.0872166622260327,41.8533345064909,11.0146540397756,0.108890028228334,-0.157621625842974
"25",25,40049,"garvin",2010,9.048291315,9.048291315,"GARVIN",40049,27554,10.2239029946045,244,0.00885533860782464,0.0942422504658835,23.8656411478833,10.2239029946045,-0.198647633857606,-0.325979185133857
"26",26,40051,"grady",2010,9.21517923,9.21517923,"GRADY",40051,52480,10.868187423618,261,0.00497332317073171,0.0705803779892728,24.0150440755938,10.868187423618,0.032218640240519,-0.178029744241848
"27",27,40053,"grant",2010,8.865365416,8.865365416,"GRANT",40053,4535,8.41958036254924,35,0.00771775082690187,0.0879641263124014,4.1569767723439,8.41958036254924,-0.411851146794488,-0.488146616380859
"28",28,40055,"greer",2010,7.660673082,7.660673082,"GREER",40055,6205,8.73311069763871,82,0.013215149073328,0.115211875572657,9.38955234154669,8.73311069763871,-0.396383495436715,-1.55613022239684
"29",29,40057,"harmon",2010,7.452923395,7.452923395,"HARMON",40057,2917,7.97831096986772,96,0.0329105245114844,0.182422676717003,12.0326219876074,7.97831096986772,-0.426837170684835,-1.74030443319659
"30",30,40059,"harper",2010,7.537212874,7.537212874,"HARPER",40059,3694,8.21446516075919,19,0.00514347590687602,0.071779653286604,2.31299294940877,8.21446516075919,-0.419640544873463,-1.6655801412002
"31",31,40061,"haskell",2010,10.4637682,10.4637682,"HASKELL",40061,12740,9.45250192912615,76,0.00596546310832025,0.0773134092147275,8.04019936413025,9.45250192912615,-0.335855889674408,0.928869098705701
"32",32,40063,"hughes",2010,9.393917926,9.393917926,"HUGHES",40063,14020,9.54824016058858,79,0.00563480741797432,0.0751360301383157,8.27377597037004,9.54824016058858,-0.324000444322342,-0.0195743513575478
"33",33,40065,"jackson",2010,8.046768956,8.046768956,"JACKSON",40065,26467,10.1836539529462,292,0.0110326066422337,0.105230318276641,28.6734016443599,10.1836539529462,-0.208715500340181,-1.21384858571266
"34",34,40067,"jefferson",2010,8.478773071,8.478773071,"JEFFERSON",40067,6446,8.77121506237538,41,0.00636053366428793,0.0798377420870067,4.67438088205952,8.77121506237538,-0.394151337366521,-0.830868384436265
